,IP,Reliability,Risk,Type,Country,Locale,Coords
9055,198.2.218.158,4,2,Scanning Host,nan,,"42.5859985352,-83.5006027222"
9056,198.2.218.189,4,2,Scanning Host,nan,,"42.5859985352,-83.5006027222"
9057,198.2.218.156,4,2,Scanning Host,nan,,"42.5859985352,-83.5006027222"
9058,198.2.218.181,4,2,Scanning Host,nan,,"42.5859985352,-83.5006027222"
9059,198.2.218.180,4,2,Scanning Host,nan,,"42.5859985352,-83.5006027222"
9060,198.2.218.155,4,2,Scanning Host,nan,,"42.5859985352,-83.5006027222"
9061,198.2.218.187,4,2,Scanning Host,nan,,"42.5859985352,-83.5006027222"
9062,66.76.67.133,4,2,Scanning Host,us,Gladewater,"32.5214996338,-94.9664993286"
9063,82.151.56.38,4,2,Scanning Host,nl,Den Burg,"53.0561981201,4.79670000076"
9064,72.20.57.117,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9065,72.20.57.65,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9066,72.20.57.64,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9067,72.20.57.87,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9068,72.20.57.85,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9069,72.20.57.86,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9070,72.20.57.88,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9071,72.20.57.93,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9072,72.20.57.89,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9073,72.20.57.76,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9074,72.20.57.74,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9075,72.20.57.73,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9076,72.20.57.66,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9077,72.20.57.33,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9078,72.20.57.63,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9079,72.20.57.62,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9080,72.20.57.61,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9081,72.20.57.58,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9082,72.20.57.54,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9083,72.20.57.92,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9084,72.20.57.57,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9085,72.20.57.56,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9086,72.20.57.120,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9087,72.20.57.53,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9088,72.20.57.52,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9089,72.20.57.38,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9090,72.20.57.55,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9091,72.20.57.116,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9092,72.20.57.51,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9093,72.20.57.123,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9094,72.20.57.124,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9095,72.20.57.127,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9096,72.20.57.126,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9097,72.20.57.50,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9098,72.20.57.121,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
