,IP,Reliability,Risk,Type,Country,Locale,Coords
0,222.76.212.189,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
1,222.76.212.185,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
2,222.76.212.186,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
3,5.34.246.67,6,3,Spamming,us,,"38.0,-97.0"
4,178.94.97.176,4,5,Scanning Host,ua,Merefa,"49.8230018616,36.0507011414"
5,66.2.49.232,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
6,222.76.212.173,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
7,222.76.212.172,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
8,222.76.212.171,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
9,174.142.46.19,6,3,Spamming,nan,,"24.4797992706,118.08190155"
10,66.2.49.244,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
11,62.75.130.16,4,2,Scanning Host,de,,"51.0,9.0"
12,62.75.130.17,4,2,Scanning Host,de,,"51.0,9.0"
13,62.75.130.18,4,2,Scanning Host,de,,"51.0,9.0"
14,62.75.130.19,4,2,Scanning Host,de,,"51.0,9.0"
15,112.216.121.87,4,3,Scanning Host,kr,,"37.0,127.5"
16,112.216.121.78,4,3,Scanning Host,kr,,"37.0,127.5"
17,112.216.121.77,4,3,Scanning Host,kr,,"37.0,127.5"
18,112.216.121.75,4,3,Scanning Host,kr,,"37.0,127.5"
19,112.216.121.74,4,3,Scanning Host,kr,,"37.0,127.5"
20,222.45.58.249,4,2,Scanning Host,cn,Nanjing,"32.0616989136,118.777801514"
21,222.45.58.244,4,2,Scanning Host,cn,Nanjing,"32.0616989136,118.777801514"
22,120.31.136.119,4,2,Scanning Host,cn,Foshan,"23.0268001556,113.131500244"
23,201.57.0.248,4,2,Scanning Host,br,,"-10.0,-55.0"
24,218.65.30.37,4,4,Scanning Host,cn,Nanchang,"28.5499992371,115.933296204"
25,218.65.30.38,4,3,Scanning Host,cn,Nanchang,"28.5499992371,115.933296204"
26,178.94.97.59,4,5,Scanning Host,ua,Merefa,"49.8230018616,36.0507011414"
27,84.241.180.134,6,3,Malware IP,nl,,"52.5,5.75"
28,62.75.130.12,4,2,Scanning Host,de,,"51.0,9.0"
29,62.75.130.13,4,2,Scanning Host,de,,"51.0,9.0"
30,62.75.130.14,4,2,Scanning Host,de,,"51.0,9.0"
31,62.75.130.15,4,2,Scanning Host,de,,"51.0,9.0"
32,24.218.26.112,4,4,Scanning Host,us,Boston,"42.3583984375,-71.0597991943"
33,184.154.37.226,6,2,Spamming,us,Chicago,"41.8824996948,-87.6440963745"
34,222.76.212.200,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
35,192.157.254.179,6,2,Spamming,us,Henderson,"36.0312004089,-115.073898315"
36,222.76.212.197,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
37,222.76.212.196,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
38,222.76.212.202,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
39,222.76.212.201,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
40,222.174.88.253,4,2,Scanning Host,cn,Jinan,"36.6683006287,116.997200012"
41,177.124.220.90,6,4,Malware IP,br,,"-10.0,-55.0"
42,178.94.97.191,4,5,Scanning Host,ua,Merefa,"49.8230018616,36.0507011414"
43,178.94.97.66,4,5,Scanning Host,ua,Merefa,"49.8230018616,36.0507011414"
44,178.94.97.179,4,5,Scanning Host,ua,Merefa,"49.8230018616,36.0507011414"
45,198.50.194.49,6,3,Spamming,ca,,"60.0,-95.0"
46,108.61.71.18,6,3,Malware IP,us,Matawan,"40.4169006348,-74.2578964233"
47,177.15.73.82,4,2,Scanning Host,nan,,"40.4169006348,-74.2578964233"
48,66.2.49.196,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
49,66.2.49.195,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
50,66.2.49.194,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
51,66.2.49.243,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
52,66.2.49.230,4,2,Scanning Host,us,Union City,"37.5962982178,-122.065696716"
53,118.123.11.243,4,3,Scanning Host,cn,Chengdu,"30.6667003632,104.066703796"
54,118.123.11.244,4,3,Scanning Host,cn,Chengdu,"30.6667003632,104.066703796"
55,118.123.11.245,4,3,Scanning Host,cn,Chengdu,"30.6667003632,104.066703796"
56,118.123.11.246,4,3,Scanning Host,cn,Chengdu,"30.6667003632,104.066703796"
57,118.123.11.247,4,3,Scanning Host,cn,Chengdu,"30.6667003632,104.066703796"
58,118.123.11.248,4,3,Scanning Host,cn,Chengdu,"30.6667003632,104.066703796"
59,118.123.11.249,4,3,Scanning Host,cn,Chengdu,"30.6667003632,104.066703796"
60,118.123.11.251,4,3,Scanning Host,cn,Chengdu,"30.6667003632,104.066703796"
61,118.123.11.252,4,3,Scanning Host,cn,Chengdu,"30.6667003632,104.066703796"
62,62.75.130.11,4,2,Scanning Host,de,,"51.0,9.0"
63,24.218.26.117,4,4,Scanning Host,us,Boston,"42.3583984375,-71.0597991943"
64,24.218.26.110,4,4,Scanning Host,us,Boston,"42.3583984375,-71.0597991943"
65,81.171.34.31,6,3,Malware IP,nl,,"52.5,5.75"
66,213.248.112.161,6,2,Malware IP,nl,,"52.5,5.75"
67,218.95.217.135,4,2,Scanning Host,cn,,"35.0,105.0"
68,93.174.93.9,4,3,Scanning Host,nl,,"52.5,5.75"
69,93.174.93.8,4,3,Scanning Host,nl,,"52.5,5.75"
70,93.174.93.22,4,3,Scanning Host,nl,,"52.5,5.75"
71,222.76.212.12,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
72,222.76.212.9,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
73,222.76.212.27,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
74,222.76.212.20,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
75,193.110.77.196,4,2,Scanning Host,ua,Kiev,"50.4333000183,30.5167007446"
76,193.110.77.211,4,2,Scanning Host,ua,Kiev,"50.4333000183,30.5167007446"
77,193.110.77.209,4,3,Scanning Host,ua,Kiev,"50.4333000183,30.5167007446"
78,193.110.77.207,4,2,Scanning Host,ua,Kiev,"50.4333000183,30.5167007446"
79,193.110.77.208,4,2,Scanning Host,ua,Kiev,"50.4333000183,30.5167007446"
80,222.76.212.25,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
81,193.110.77.205,4,2,Scanning Host,ua,Kiev,"50.4333000183,30.5167007446"
82,193.110.77.204,4,2,Scanning Host,ua,Kiev,"50.4333000183,30.5167007446"
83,193.110.77.203,4,3,Scanning Host,ua,Kiev,"50.4333000183,30.5167007446"
84,193.110.77.202,4,2,Scanning Host,ua,Kiev,"50.4333000183,30.5167007446"
85,193.110.77.144,4,2,Scanning Host,ua,Kiev,"50.4333000183,30.5167007446"
86,110.7.139.188,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
87,110.7.139.192,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
88,110.7.139.191,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
89,175.103.59.4,4,2,Scanning Host,id,,"-5.0,120.0"
90,110.7.139.126,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
91,110.7.139.123,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
92,110.7.139.114,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
93,110.7.139.115,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
94,110.7.139.178,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
95,110.7.139.128,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
96,110.7.139.122,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
97,110.7.139.120,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
98,110.7.139.117,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
99,110.7.139.131,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
100,110.7.139.170,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
101,110.7.139.45,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
102,110.7.139.108,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
103,110.7.139.26,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
104,110.7.139.43,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
105,110.7.139.42,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
106,110.7.139.41,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
107,110.7.139.106,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
108,110.7.139.50,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
109,110.7.139.38,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
110,80.233.193.129,6,3,Spamming,lv,,"57.0,25.0"
111,175.103.59.19,4,2,Scanning Host,id,,"-5.0,120.0"
112,198.211.31.189,6,2,Spamming,nan,,"-5.0,120.0"
113,199.193.64.242,6,2,Spamming,us,Fremont,"37.5670013428,-121.982902527"
114,110.7.139.25,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
115,110.7.139.10,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
116,110.7.139.24,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
117,173.252.194.154,6,2,Spamming,us,Santa Clara,"37.3501014709,-121.985397339"
118,110.7.139.12,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
119,50.63.202.80,3,2,Spamming,us,Scottsdale,"33.6119003296,-111.890602112"
120,110.7.139.28,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
121,184.22.39.173,6,2,Spamming,us,Bellevue,"47.6104011536,-122.200698853"
122,110.7.139.29,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
123,110.7.139.30,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
124,110.7.139.31,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
125,213.59.6.190,4,2,Scanning Host,ru,,"60.0,100.0"
126,147.255.212.14,6,2,Spamming,us,Phoenix,"33.6748008728,-111.951896667"
127,110.7.139.16,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
128,110.7.139.17,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
129,110.7.139.7,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
130,110.7.139.19,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
131,110.7.139.9,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
132,110.7.139.15,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
133,199.193.248.39,6,2,Spamming,us,Los Angeles,"34.043800354,-118.251197815"
134,110.7.139.20,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
135,110.7.139.23,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
136,110.7.139.190,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
137,175.103.59.18,4,2,Scanning Host,id,,"-5.0,120.0"
138,175.103.59.149,4,2,Scanning Host,id,,"-5.0,120.0"
139,175.103.59.147,4,2,Scanning Host,id,,"-5.0,120.0"
140,192.157.254.180,10,2,Spamming,us,Henderson,"36.0312004089,-115.073898315"
141,123.51.208.166,6,3,Spamming,tw,Taipei,"25.0391998291,121.525001526"
142,222.76.212.179,4,4,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
143,222.76.212.194,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
144,222.76.212.199,4,2,Scanning Host,cn,Xiamen,"24.4797992706,118.08190155"
145,42.121.87.26,4,2,Scanning Host,cn,Hangzhou,"30.2936000824,120.161399841"
146,42.121.87.20,4,2,Scanning Host,cn,Hangzhou,"30.2936000824,120.161399841"
147,223.6.73.204,6,2,Malware Domain,cn,Beijing,"39.9289016724,116.388298035"
148,216.99.159.167,4,2,Scanning Host,us,Walnut,"34.0115013123,-117.853500366"
149,216.99.159.124,4,3,Scanning Host,us,Walnut,"34.0115013123,-117.853500366"
150,216.99.159.123,4,3,Scanning Host,us,Walnut,"34.0115013123,-117.853500366"
151,216.99.159.121,4,3,Scanning Host,us,Walnut,"34.0115013123,-117.853500366"
152,216.99.159.120,4,3,Scanning Host,us,Walnut,"34.0115013123,-117.853500366"
153,216.99.159.83,4,3,Scanning Host,us,Walnut,"34.0115013123,-117.853500366"
154,222.45.58.246,4,2,Scanning Host,cn,Nanjing,"32.0616989136,118.777801514"
155,222.45.58.247,4,2,Scanning Host,cn,Nanjing,"32.0616989136,118.777801514"
156,222.45.58.245,4,2,Scanning Host,cn,Nanjing,"32.0616989136,118.777801514"
157,222.45.58.183,4,2,Scanning Host,cn,Nanjing,"32.0616989136,118.777801514"
158,222.45.58.182,4,2,Scanning Host,cn,Nanjing,"32.0616989136,118.777801514"
159,222.45.58.189,4,2,Scanning Host,cn,Nanjing,"32.0616989136,118.777801514"
160,222.45.58.195,4,2,Scanning Host,cn,Nanjing,"32.0616989136,118.777801514"
161,222.45.58.128,4,2,Scanning Host,cn,Nanjing,"32.0616989136,118.777801514"
162,222.45.58.130,4,2,Scanning Host,cn,Nanjing,"32.0616989136,118.777801514"
163,222.45.58.237,4,2,Scanning Host,cn,Nanjing,"32.0616989136,118.777801514"
164,222.45.58.127,4,2,Scanning Host,cn,Nanjing,"32.0616989136,118.777801514"
165,222.45.58.236,4,2,Scanning Host,cn,Nanjing,"32.0616989136,118.777801514"
166,222.45.58.120,4,2,Scanning Host,cn,Nanjing,"32.0616989136,118.777801514"
167,222.45.58.111,4,3,Scanning Host,cn,Nanjing,"32.0616989136,118.777801514"
168,222.45.58.126,4,2,Scanning Host,cn,Nanjing,"32.0616989136,118.777801514"
169,222.45.58.180,4,2,Scanning Host,cn,Nanjing,"32.0616989136,118.777801514"
170,82.165.123.150,6,3,Malware IP,de,,"51.0,9.0"
171,187.45.193.174,6,3,Malware IP,nan,,"51.0,9.0"
172,142.0.37.84,4,3,Scanning Host,us,Clarks Summit,"41.448600769,-75.7279968262"
173,1.26.119.1,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
174,1.26.119.2,4,3,Scanning Host,cn,Baotou,"40.6521987915,109.82219696"
175,117.21.227.0,4,2,Scanning Host,cn,Nanchang,"28.5499992371,115.933296204"
176,117.21.227.1,4,2,Scanning Host,cn,Nanchang,"28.5499992371,115.933296204"
177,78.186.53.236,1,2,Scanning Host,tr,Istanbul,"41.0186004639,28.9647006989"
178,78.186.53.240,1,2,Scanning Host,tr,Istanbul,"41.0186004639,28.9647006989"
179,60.190.92.65,4,2,Scanning Host,cn,,"35.0,105.0"
180,60.190.92.66,4,2,Scanning Host,cn,,"35.0,105.0"
181,119.147.102.149,4,2,Scanning Host,cn,Guangzhou,"23.1166992188,113.25"
182,180.130.185.202,4,3,Scanning Host,cn,Kunming,"25.0389003754,102.718299866"
183,213.171.196.108,4,2,Scanning Host,gb,Gloucester,"51.8333015442,-2.25"
184,222.174.88.230,4,2,Scanning Host,cn,Jinan,"36.6683006287,116.997200012"
185,222.174.88.234,4,2,Scanning Host,cn,Jinan,"36.6683006287,116.997200012"
186,222.174.88.237,4,2,Scanning Host,cn,Jinan,"36.6683006287,116.997200012"
187,222.174.88.238,4,2,Scanning Host,cn,Jinan,"36.6683006287,116.997200012"
188,222.174.88.242,4,2,Scanning Host,cn,Jinan,"36.6683006287,116.997200012"
189,222.174.88.243,4,2,Scanning Host,cn,Jinan,"36.6683006287,116.997200012"
190,222.174.88.244,4,2,Scanning Host,cn,Jinan,"36.6683006287,116.997200012"
191,222.174.88.245,4,2,Scanning Host,cn,Jinan,"36.6683006287,116.997200012"
192,222.174.88.246,4,2,Scanning Host,cn,Jinan,"36.6683006287,116.997200012"
193,222.174.88.247,4,2,Scanning Host,cn,Jinan,"36.6683006287,116.997200012"
194,222.174.88.248,4,2,Scanning Host,cn,Jinan,"36.6683006287,116.997200012"
195,222.174.88.249,4,2,Scanning Host,cn,Jinan,"36.6683006287,116.997200012"
196,179.197.84.56,4,3,Malicious Host,br,,"-10.0,-55.0"
197,218.65.30.34,4,3,Scanning Host,cn,Nanchang,"28.5499992371,115.933296204"
198,218.65.30.33,4,3,Scanning Host,cn,Nanchang,"28.5499992371,115.933296204"
199,218.65.30.47,4,3,Scanning Host,cn,Nanchang,"28.5499992371,115.933296204"
200,218.65.30.45,4,3,Scanning Host,cn,Nanchang,"28.5499992371,115.933296204"
201,178.18.23.41,4,2,Scanning Host,nl,,"52.5,5.75"
202,178.18.23.42,4,2,Scanning Host,nl,,"52.5,5.75"
203,178.18.23.44,4,2,Scanning Host,nl,,"52.5,5.75"
204,178.18.23.45,4,2,Scanning Host,nl,,"52.5,5.75"
205,178.18.23.46,4,2,Scanning Host,nl,,"52.5,5.75"
206,178.18.23.47,4,2,Scanning Host,nl,,"52.5,5.75"
207,178.18.23.48,4,2,Scanning Host,nl,,"52.5,5.75"
208,178.18.23.76,4,2,Scanning Host,nl,,"52.5,5.75"
209,178.18.23.75,4,2,Scanning Host,nl,,"52.5,5.75"
210,178.18.23.74,4,2,Scanning Host,nl,,"52.5,5.75"
211,178.18.23.78,4,2,Scanning Host,nl,,"52.5,5.75"
212,178.18.23.73,4,2,Scanning Host,nl,,"52.5,5.75"
213,178.18.23.79,4,2,Scanning Host,nl,,"52.5,5.75"
214,178.18.23.156,4,3,Scanning Host,nl,,"52.5,5.75"
215,178.18.23.157,4,3,Scanning Host,nl,,"52.5,5.75"
216,178.18.23.154,4,2,Scanning Host,nl,,"52.5,5.75"
217,178.18.23.155,4,2,Scanning Host,nl,,"52.5,5.75"
218,178.18.23.168,4,2,Scanning Host,nl,,"52.5,5.75"
219,178.18.23.170,4,2,Scanning Host,nl,,"52.5,5.75"
220,178.18.23.167,4,2,Scanning Host,nl,,"52.5,5.75"
221,178.18.23.166,4,2,Scanning Host,nl,,"52.5,5.75"
222,178.18.23.165,4,3,Scanning Host,nl,,"52.5,5.75"
223,178.18.23.164,4,3,Scanning Host,nl,,"52.5,5.75"
224,178.18.23.163,4,3,Scanning Host,nl,,"52.5,5.75"
225,178.18.23.162,4,2,Scanning Host,nl,,"52.5,5.75"
226,178.18.23.160,4,3,Scanning Host,nl,,"52.5,5.75"
227,178.18.23.161,4,3,Scanning Host,nl,,"52.5,5.75"
228,178.18.23.145,4,2,Scanning Host,nl,,"52.5,5.75"
229,178.18.23.148,4,2,Scanning Host,nl,,"52.5,5.75"
230,178.18.23.149,4,2,Scanning Host,nl,,"52.5,5.75"
231,178.18.23.146,4,2,Scanning Host,nl,,"52.5,5.75"
232,178.18.23.147,4,2,Scanning Host,nl,,"52.5,5.75"
233,178.18.23.150,4,2,Scanning Host,nl,,"52.5,5.75"
234,178.18.23.151,4,2,Scanning Host,nl,,"52.5,5.75"
235,178.18.23.152,4,2,Scanning Host,nl,,"52.5,5.75"
236,178.18.23.153,4,2,Scanning Host,nl,,"52.5,5.75"
237,178.18.23.122,4,2,Scanning Host,nl,,"52.5,5.75"
238,193.105.240.14,4,2,Scanning Host,lv,,"57.0,25.0"
239,193.105.240.13,4,2,Scanning Host,lv,,"57.0,25.0"
240,178.18.23.243,4,2,Scanning Host,nl,,"52.5,5.75"
241,193.105.240.2,4,2,Scanning Host,lv,,"57.0,25.0"
242,193.105.240.3,4,2,Scanning Host,lv,,"57.0,25.0"
243,193.105.240.8,4,2,Scanning Host,lv,,"57.0,25.0"
244,193.105.240.1,4,2,Scanning Host,lv,,"57.0,25.0"
245,193.105.240.7,4,2,Scanning Host,lv,,"57.0,25.0"
246,178.18.23.254,4,2,Scanning Host,nl,,"52.5,5.75"
247,193.105.240.6,4,2,Scanning Host,lv,,"57.0,25.0"
248,193.105.240.0,4,2,Scanning Host,lv,,"57.0,25.0"
249,193.105.240.5,4,2,Scanning Host,lv,,"57.0,25.0"
250,178.18.23.255,4,2,Scanning Host,nl,,"52.5,5.75"
251,193.105.240.4,4,2,Scanning Host,lv,,"57.0,25.0"
252,178.18.23.253,4,2,Scanning Host,nl,,"52.5,5.75"
253,178.18.23.244,4,2,Scanning Host,nl,,"52.5,5.75"
254,193.105.240.18,4,2,Scanning Host,lv,,"57.0,25.0"
255,193.105.240.19,4,2,Scanning Host,lv,,"57.0,25.0"
256,193.105.240.20,4,2,Scanning Host,lv,,"57.0,25.0"
257,193.105.240.21,4,2,Scanning Host,lv,,"57.0,25.0"
258,193.105.240.22,4,2,Scanning Host,lv,,"57.0,25.0"
259,193.105.240.23,4,2,Scanning Host,lv,,"57.0,25.0"
260,193.105.240.24,4,2,Scanning Host,lv,,"57.0,25.0"
261,193.105.240.25,4,2,Scanning Host,lv,,"57.0,25.0"
262,193.105.240.26,4,2,Scanning Host,lv,,"57.0,25.0"
263,193.105.240.27,4,2,Scanning Host,lv,,"57.0,25.0"
264,193.105.240.28,4,3,Scanning Host,lv,,"57.0,25.0"
265,193.105.240.29,4,2,Scanning Host,lv,,"57.0,25.0"
266,193.105.240.170,4,2,Scanning Host,lv,,"57.0,25.0"
267,193.105.240.171,4,3,Scanning Host,lv,,"57.0,25.0"
268,193.105.240.172,4,2,Scanning Host,lv,,"57.0,25.0"
269,193.105.240.173,4,3,Scanning Host,lv,,"57.0,25.0"
270,193.105.240.174,4,2,Scanning Host,lv,,"57.0,25.0"
271,193.105.240.175,4,2,Scanning Host,lv,,"57.0,25.0"
272,193.105.240.176,4,2,Scanning Host,lv,,"57.0,25.0"
273,193.105.240.154,4,2,Scanning Host,lv,,"57.0,25.0"
274,193.105.240.177,4,2,Scanning Host,lv,,"57.0,25.0"
275,193.105.240.178,4,2,Scanning Host,lv,,"57.0,25.0"
276,193.105.240.179,4,2,Scanning Host,lv,,"57.0,25.0"
277,193.105.240.180,4,2,Scanning Host,lv,,"57.0,25.0"
278,193.105.240.160,4,2,Scanning Host,lv,,"57.0,25.0"
279,193.105.240.153,4,2,Scanning Host,lv,,"57.0,25.0"
280,193.105.240.219,4,2,Scanning Host,lv,,"57.0,25.0"
281,193.105.240.215,4,2,Scanning Host,lv,,"57.0,25.0"
282,193.105.240.214,4,2,Scanning Host,lv,,"57.0,25.0"
283,193.105.240.213,4,3,Scanning Host,lv,,"57.0,25.0"
284,193.105.240.212,4,2,Scanning Host,lv,,"57.0,25.0"
285,193.105.240.217,4,2,Scanning Host,lv,,"57.0,25.0"
286,193.105.240.216,4,2,Scanning Host,lv,,"57.0,25.0"
287,193.105.240.218,4,2,Scanning Host,lv,,"57.0,25.0"
288,193.105.240.225,4,2,Scanning Host,lv,,"57.0,25.0"
289,193.105.240.224,4,2,Scanning Host,lv,,"57.0,25.0"
290,193.105.240.230,4,2,Scanning Host,lv,,"57.0,25.0"
291,193.105.240.222,4,2,Scanning Host,lv,,"57.0,25.0"
292,193.105.240.223,4,2,Scanning Host,lv,,"57.0,25.0"
293,193.105.240.221,4,2,Scanning Host,lv,,"57.0,25.0"
294,193.105.240.220,4,3,Scanning Host,lv,,"57.0,25.0"
295,193.105.240.211,4,2,Scanning Host,lv,,"57.0,25.0"
296,77.73.8.40,4,2,Scanning Host,gb,London,"51.5141983032,-0.0930999964476"
297,77.73.8.43,4,2,Scanning Host,gb,London,"51.5141983032,-0.0930999964476"
298,77.73.8.50,4,2,Scanning Host,gb,London,"51.5141983032,-0.0930999964476"
299,77.73.8.52,4,2,Scanning Host,gb,London,"51.5141983032,-0.0930999964476"
300,77.73.8.53,4,2,Scanning Host,gb,London,"51.5141983032,-0.0930999964476"
301,77.73.8.54,4,2,Scanning Host,gb,London,"51.5141983032,-0.0930999964476"
302,77.73.8.55,4,2,Scanning Host,gb,London,"51.5141983032,-0.0930999964476"
303,77.73.8.56,4,2,Scanning Host,gb,London,"51.5141983032,-0.0930999964476"
304,77.73.8.57,4,2,Scanning Host,gb,London,"51.5141983032,-0.0930999964476"
305,77.73.8.58,4,2,Scanning Host,gb,London,"51.5141983032,-0.0930999964476"
306,77.73.8.59,4,2,Scanning Host,gb,London,"51.5141983032,-0.0930999964476"
307,77.73.8.138,4,2,Scanning Host,gb,London,"51.5141983032,-0.0930999964476"
308,77.73.8.141,4,2,Scanning Host,gb,London,"51.5141983032,-0.0930999964476"
309,77.73.8.142,4,2,Scanning Host,gb,London,"51.5141983032,-0.0930999964476"
310,77.73.8.143,4,2,Scanning Host,gb,London,"51.5141983032,-0.0930999964476"
311,77.73.8.146,4,2,Scanning Host,gb,London,"51.5141983032,-0.0930999964476"
312,77.73.8.147,4,2,Scanning Host,gb,London,"51.5141983032,-0.0930999964476"
313,77.73.8.149,4,2,Scanning Host,gb,London,"51.5141983032,-0.0930999964476"
314,77.73.8.151,4,2,Scanning Host,gb,London,"51.5141983032,-0.0930999964476"
315,77.73.8.156,4,2,Scanning Host,gb,London,"51.5141983032,-0.0930999964476"
316,77.73.8.158,4,2,Scanning Host,gb,London,"51.5141983032,-0.0930999964476"
317,62.28.131.81,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
318,62.28.131.82,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
319,62.28.131.83,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
320,62.28.131.84,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
321,62.28.131.85,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
322,62.28.131.86,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
323,62.28.131.87,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
324,62.28.131.88,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
325,62.28.131.89,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
326,62.28.131.90,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
327,62.28.131.91,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
328,62.28.131.92,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
329,62.28.131.93,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
330,62.28.131.94,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
331,62.28.131.95,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
332,62.28.131.96,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
333,62.28.131.97,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
334,62.28.131.98,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
335,62.28.131.99,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
336,62.28.131.100,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
337,62.28.131.101,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
338,62.28.131.102,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
339,62.28.131.103,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
340,62.28.131.117,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
341,62.28.131.118,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
342,62.28.131.199,4,2,Scanning Host,pt,Porto,"41.1496009827,-8.61100006104"
